run_id,rep,order_idx,rf,ratio,rows,ranges,duration,cooldown,qps_target,qps_actual,connect_err,reads_ok,reads_err,writes_ok,writes_err,read_mode,metrics_file,load_file
rep1_ratio80-20_rf5_strong,1,1,5,80:20,90000,1,90,30,250.0,191.13070737819,0,13861,0,3371,0,strong,results\cockroach_rf_sweep_bg_20260617\rep1_ratio80-20_rf5_strong\metrics.csv,results\cockroach_rf_sweep_bg_20260617\rep1_ratio80-20_rf5_strong\load.json
rep1_ratio100-0_rf4_strong,1,2,4,100:0,90000,1,90,30,250.0,247.13487303283597,0,22282,0,0,0,strong,results\cockroach_rf_sweep_bg_20260617\rep1_ratio100-0_rf4_strong\metrics.csv,results\cockroach_rf_sweep_bg_20260617\rep1_ratio100-0_rf4_strong\load.json
rep1_ratio50-50_rf4_strong,1,3,4,50:50,90000,1,90,30,250.0,118.35170664719607,0,5443,0,5277,0,strong,results\cockroach_rf_sweep_bg_20260617\rep1_ratio50-50_rf4_strong\metrics.csv,results\cockroach_rf_sweep_bg_20260617\rep1_ratio50-50_rf4_strong\load.json
rep1_ratio50-50_rf5_strong,1,4,5,50:50,90000,1,90,30,250.0,162.64550279543144,0,7415,0,7255,0,strong,results\cockroach_rf_sweep_bg_20260617\rep1_ratio50-50_rf5_strong\metrics.csv,results\cockroach_rf_sweep_bg_20260617\rep1_ratio50-50_rf5_strong\load.json
rep1_ratio50-50_rf3_strong,1,5,3,50:50,90000,1,90,30,250.0,145.22742076193117,0,6583,0,6527,0,strong,results\cockroach_rf_sweep_bg_20260617\rep1_ratio50-50_rf3_strong\metrics.csv,results\cockroach_rf_sweep_bg_20260617\rep1_ratio50-50_rf3_strong\load.json
rep1_ratio100-0_rf3_strong,1,6,3,100:0,90000,1,90,30,250.0,214.94110868443713,0,19407,0,0,0,strong,results\cockroach_rf_sweep_bg_20260617\rep1_ratio100-0_rf3_strong\metrics.csv,results\cockroach_rf_sweep_bg_20260617\rep1_ratio100-0_rf3_strong\load.json
rep1_ratio100-0_rf5_strong,1,7,5,100:0,90000,1,90,30,250.0,248.479473492178,0,22421,0,0,0,strong,results\cockroach_rf_sweep_bg_20260617\rep1_ratio100-0_rf5_strong\metrics.csv,results\cockroach_rf_sweep_bg_20260617\rep1_ratio100-0_rf5_strong\load.json
rep1_ratio80-20_rf4_strong,1,8,4,80:20,90000,1,90,30,250.0,196.85200638506802,0,14376,0,3386,0,strong,results\cockroach_rf_sweep_bg_20260617\rep1_ratio80-20_rf4_strong\metrics.csv,results\cockroach_rf_sweep_bg_20260617\rep1_ratio80-20_rf4_strong\load.json
rep1_ratio80-20_rf3_strong,1,9,3,80:20,90000,1,90,30,250.0,196.97074330693565,0,14155,0,3610,0,strong,results\cockroach_rf_sweep_bg_20260617\rep1_ratio80-20_rf3_strong\metrics.csv,results\cockroach_rf_sweep_bg_20260617\rep1_ratio80-20_rf3_strong\load.json
rep2_ratio50-50_rf5_strong,2,1,5,50:50,90000,1,90,30,250.0,161.76761432594523,0,7317,0,7257,0,strong,results\cockroach_rf_sweep_bg_20260617\rep2_ratio50-50_rf5_strong\metrics.csv,results\cockroach_rf_sweep_bg_20260617\rep2_ratio50-50_rf5_strong\load.json
