rep,rf_order_idx,reader_order_idx,rf,file_size_mb,num_files,written_mb,write_elapsed_s,write_throughput_mb_s,readers,read_elapsed_s,read_total_mb,read_throughput_mb_s,single_read_avg_s,single_read_max_s
1,1,1,2,64,4,256,29.682668447494507,8.624561516523922,4,7.095586776733398,256,36.078763892991944,6.8557785749435425,7.092859268188477
1,1,2,2,64,4,256,29.682668447494507,8.624561516523922,2,5.251003742218018,128,24.376291902228385,5.0880738496780396,5.249766111373901
1,1,3,2,64,4,256,29.682668447494507,8.624561516523922,8,13.5007483959198,512,37.92382355297702,13.032773196697235,13.497934341430664
1,1,4,2,64,4,256,29.682668447494507,8.624561516523922,1,4.253449440002441,64,15.046611204096802,4.252300977706909,4.252300977706909
1,2,1,1,64,4,256,22.803446769714355,11.226373038482846,8,10.667887687683105,512,47.99450603432423,10.373867452144623,10.66576337814331
1,2,2,1,64,4,256,22.803446769714355,11.226373038482846,2,5.671676397323608,128,22.568283349240723,5.621240854263306,5.6711530685424805
1,2,3,1,64,4,256,22.803446769714355,11.226373038482846,4,6.676494359970093,256,38.34347581192995,6.593268871307373,6.674880027770996
1,2,4,1,64,4,256,22.803446769714355,11.226373038482846,1,4.0961198806762695,64,15.62454270489603,4.095598459243774,4.095598459243774
1,3,1,5,64,4,256,23.297476530075073,10.98831453567624,4,6.833286762237549,256,37.463669959633485,6.792262375354767,6.830016851425171
1,3,2,5,64,4,256,23.297476530075073,10.98831453567624,1,4.271149635314941,64,14.98425610538949,4.270454406738281,4.270454406738281
1,3,3,5,64,4,256,23.297476530075073,10.98831453567624,2,4.812346935272217,128,26.598248572192666,4.771217226982117,4.81179404258728
1,3,4,5,64,4,256,23.297476530075073,10.98831453567624,8,11.978552103042603,512,42.74306239983294,11.58552160859108,11.978008508682251
1,4,1,3,64,4,256,22.490684509277344,11.382490377044803,2,5.014693737030029,128,25.524988506238962,5.009028911590576,5.013541221618652
1,4,2,3,64,4,256,22.490684509277344,11.382490377044803,1,4.0635833740234375,64,15.749646090473169,4.062737941741943,4.062737941741943
1,4,3,3,64,4,256,22.490684509277344,11.382490377044803,4,6.195571184158325,256,41.31983837980515,6.070984303951263,6.1950225830078125
1,4,4,3,64,4,256,22.490684509277344,11.382490377044803,8,10.82181715965271,512,47.311832425787436,10.555528342723846,10.805863857269287
1,5,1,4,64,4,256,23.711002349853516,10.796675577976211,1,3.7621941566467285,64,17.011349583574834,3.7616748809814453,3.7616748809814453
1,5,2,4,64,4,256,23.711002349853516,10.796675577976211,2,4.835482835769653,128,26.470986320774834,4.812842965126038,4.834413051605225
1,5,3,4,64,4,256,23.711002349853516,10.796675577976211,8,9.778884172439575,512,52.35771187913247,9.407479643821716,9.776550769805908
1,5,4,4,64,4,256,23.711002349853516,10.796675577976211,4,7.152455806732178,256,35.7919023783471,7.0933496952056885,7.151919603347778
2,1,1,4,64,4,256,20.60132598876953,12.426384599688104,4,5.672380685806274,256,45.13096249702995,5.592931270599365,5.671789646148682
2,1,2,4,64,4,256,20.60132598876953,12.426384599688104,8,9.458630561828613,512,54.13045753856109,9.123035609722137,9.456493139266968
2,1,3,4,64,4,256,20.60132598876953,12.426384599688104,2,4.57079553604126,128,28.003877878742326,4.527769207954407,4.570271968841553
2,1,4,4,64,4,256,20.60132598876953,12.426384599688104,1,3.5665433406829834,64,17.944545708995694,3.565422773361206,3.565422773361206
2,2,1,5,64,4,256,19.791541814804077,12.934818438880388,1,3.6688592433929443,64,17.444114302082927,3.668332576751709,3.668332576751709
2,2,2,5,64,4,256,19.791541814804077,12.934818438880388,2,5.034440040588379,128,25.42487326654913,4.981379866600037,5.03338360786438
2,2,3,5,64,4,256,19.791541814804077,12.934818438880388,8,8.90378212928772,512,57.503653230221026,8.693837344646454,8.902723789215088
2,2,4,5,64,4,256,19.791541814804077,12.934818438880388,4,6.053996801376343,256,42.28611418192355,6.019081652164459,6.053996801376343
2,3,1,2,64,4,256,23.458860635757446,10.91272095328402,8,10.258639335632324,512,49.90915298304921,9.779890209436417,10.25419020652771
2,3,2,2,64,4,256,23.458860635757446,10.91272095328402,4,6.228791952133179,256,41.09946229819532,6.127868413925171,6.227689981460571
2,3,3,2,64,4,256,23.458860635757446,10.91272095328402,1,3.8356895446777344,64,16.68539626435724,3.8345634937286377,3.8345634937286377
2,3,4,2,64,4,256,23.458860635757446,10.91272095328402,2,4.976861476898193,128,25.71902002781388,4.957590818405151,4.975618362426758
2,4,1,3,64,4,256,24.44893527030945,10.47080362271988,8,10.174805641174316,512,50.32037151924486,9.867946475744247,10.172786235809326
2,4,2,3,64,4,256,24.44893527030945,10.47080362271988,4,6.597386121749878,256,38.803246509406826,6.422161817550659,6.593854188919067
2,4,3,3,64,4,256,24.44893527030945,10.47080362271988,2,4.240330934524536,128,30.186323184785223,4.232360363006592,4.239786148071289
2,4,4,3,64,4,256,24.44893527030945,10.47080362271988,1,3.6836435794830322,64,17.37410219502883,3.6830954551696777,3.6830954551696777
2,5,1,1,64,4,256,23.92017912864685,10.702260991574846,1,4.663964509963989,64,13.722231347016436,4.663344383239746,4.663344383239746
2,5,2,1,64,4,256,23.92017912864685,10.702260991574846,2,4.3112404346466064,128,29.689831022029786,4.291763186454773,4.3095855712890625
2,5,3,1,64,4,256,23.92017912864685,10.702260991574846,4,5.949757099151611,256,43.02696660280528,5.7828696966171265,5.949094295501709
2,5,4,1,64,4,256,23.92017912864685,10.702260991574846,8,9.947791814804077,512,51.468708788019995,9.710226982831955,9.943082571029663
